matrix_type,solver,solver_family,sigma,repeat,image_idx,image_name,data_source,seed,status,solve_success,hit_iteration_cap,error_message,failed_blocks,psnr_db,mse,relative_error,relative_residual,condition_number,time_ms,gs_avg_iters,gs_hit_max_ratio,gmres_avg_iters,gmres_hit_max_ratio
dense,gaussian,direct,0.0,0,9,kodak_kodim10,benchmark,42,ok,True,False,,0,99.0,6.448723673015098e-32,5.108942388624653e-16,4.598393925890057e-16,2.5107067648455232,1266.5778,0.0,0.0,0.0,0.0
dense,lu,factorization,0.0,0,9,kodak_kodim10,benchmark,42,ok,True,False,,0,99.0,4.456488684759738e-32,4.246100093183956e-16,3.824751226251058e-16,2.5107067648455232,240.351,0.0,0.0,0.0,0.0
dense,gauss_seidel,iterative,0.0,0,9,kodak_kodim10,benchmark,42,iter_limit,True,True,,0,99.0,2.117529085783657e-16,2.923064761165867e-08,2.6448434903490147e-08,2.5107067648455232,5030.4933,21.3203125,0.0625,0.0,0.0
dense,gmres,hybrid,0.0,0,9,kodak_kodim10,benchmark,42,ok,True,False,,0,99.0,7.290848452760001e-18,5.431300791720234e-09,4.145961303797891e-09,2.5107067648455232,360.7914,0.0,0.0,16.0,0.0
dense,np_solve,baseline,0.0,0,9,kodak_kodim10,benchmark,42,ok,True,False,,0,99.0,6.608706938055443e-32,5.171064500230068e-16,4.6583200223012e-16,2.5107067648455232,6.539,0.0,0.0,0.0,0.0
dense,gaussian,direct,0.0,0,10,kodak_kodim11,benchmark,42,ok,True,False,,0,99.0,3.9908162928468055e-32,5.020105667266284e-16,4.569671366049981e-16,2.5107067648455232,1234.7476,0.0,0.0,0.0,0.0
dense,lu,factorization,0.0,0,10,kodak_kodim11,benchmark,42,ok,True,False,,0,99.0,2.8011936266377856e-32,4.2058125826347003e-16,3.817304617533156e-16,2.5107067648455232,236.3879,0.0,0.0,0.0,0.0
dense,gauss_seidel,iterative,0.0,0,10,kodak_kodim11,benchmark,42,iter_limit,True,True,,0,99.0,1.2274136314628465e-16,2.7828026917959967e-08,2.5221883297349498e-08,2.5107067648455232,5109.1972,21.4296875,0.0625,0.0,0.0
dense,gmres,hybrid,0.0,0,10,kodak_kodim11,benchmark,42,ok,True,False,,0,99.0,5.145379425116214e-18,5.730003074843605e-09,4.434474501309509e-09,2.5107067648455232,350.6775,0.0,0.0,15.98828125,0.0
dense,np_solve,baseline,0.0,0,10,kodak_kodim11,benchmark,42,ok,True,False,,0,99.0,4.086235204172461e-32,5.07861177416198e-16,4.636301953953959e-16,2.5107067648455232,6.4497,0.0,0.0,0.0,0.0
dense,gaussian,direct,0.0,0,11,kodak_kodim12,benchmark,42,ok,True,False,,0,99.0,1.1018970256226568e-31,5.049652534088565e-16,4.555175096173026e-16,2.5107067648455232,1231.2968,0.0,0.0,0.0,0.0
dense,lu,factorization,0.0,0,11,kodak_kodim12,benchmark,42,ok,True,False,,0,99.0,7.687759718345381e-32,4.2179881503018974e-16,3.8227098635421224e-16,2.5107067648455232,239.6626,0.0,0.0,0.0,0.0
dense,gauss_seidel,iterative,0.0,0,11,kodak_kodim12,benchmark,42,iter_limit,True,True,,0,99.0,4.808320084012867e-16,3.334844430674934e-08,3.026145148252433e-08,2.5107067648455232,4970.236,20.83203125,0.05859375,0.0,0.0
dense,gmres,hybrid,0.0,0,11,kodak_kodim12,benchmark,42,ok,True,False,,0,99.0,1.2483669137343179e-17,5.395700044055515e-09,4.104528533991635e-09,2.5107067648455232,348.0619,0.0,0.0,15.9921875,0.0
dense,np_solve,baseline,0.0,0,11,kodak_kodim12,benchmark,42,ok,True,False,,0,99.0,1.1507018495439558e-31,5.159525548513679e-16,4.700540561781024e-16,2.5107067648455232,6.8479,0.0,0.0,0.0,0.0
dense,gaussian,direct,0.0,0,12,kodak_kodim13,benchmark,42,ok,True,False,,0,99.0,5.551667401914278e-32,5.0653540664979745e-16,4.508313130953659e-16,2.5107067648455232,1264.1306,0.0,0.0,0.0,0.0
dense,lu,factorization,0.0,0,12,kodak_kodim13,benchmark,42,ok,True,False,,0,99.0,3.852193819583125e-32,4.2210667139332195e-16,3.821600335890791e-16,2.5107067648455232,239.3172,0.0,0.0,0.0,0.0
dense,gauss_seidel,iterative,0.0,0,12,kodak_kodim13,benchmark,42,iter_limit,True,True,,0,99.0,1.0801140201862411e-16,2.2299170860312615e-08,1.9943866484092e-08,2.5107067648455232,5077.422,21.53515625,0.0625,0.0,0.0
dense,gmres,hybrid,0.0,0,12,kodak_kodim13,benchmark,42,ok,True,False,,0,99.0,6.517527036427973e-18,5.488129523594405e-09,4.297404943479694e-09,2.5107067648455232,356.5203,0.0,0.0,15.98828125,0.0
dense,np_solve,baseline,0.0,0,12,kodak_kodim13,benchmark,42,ok,True,False,,0,99.0,5.705873695402466e-32,5.124915371541333e-16,4.654905364308156e-16,2.5107067648455232,7.0512,0.0,0.0,0.0,0.0
dense,gaussian,direct,0.0,0,13,kodak_kodim14,benchmark,42,ok,True,False,,0,99.0,4.508721728801133e-32,5.10942638543699e-16,4.600837615330255e-16,2.5107067648455232,1235.5229,0.0,0.0,0.0,0.0
dense,lu,factorization,0.0,0,13,kodak_kodim14,benchmark,42,ok,True,False,,0,99.0,3.071929701579389e-32,4.21745574370046e-16,3.8552064298624896e-16,2.5107067648455232,240.3377,0.0,0.0,0.0,0.0
dense,gauss_seidel,iterative,0.0,0,13,kodak_kodim14,benchmark,42,iter_limit,True,True,,0,99.0,1.0868003642060878e-16,2.5088607590820857e-08,2.2646081978206206e-08,2.5107067648455232,5065.2986,20.97265625,0.05859375,0.0,0.0
dense,gmres,hybrid,0.0,0,13,kodak_kodim14,benchmark,42,ok,True,False,,0,99.0,5.207156214501998e-18,5.4964364411313866e-09,4.294751976210029e-09,2.5107067648455232,357.9658,0.0,0.0,15.98828125,0.0
dense,np_solve,baseline,0.0,0,13,kodak_kodim14,benchmark,42,ok,True,False,,0,99.0,4.532574008207302e-32,5.124105589283553e-16,4.681417660510606e-16,2.5107067648455232,6.4932,0.0,0.0,0.0,0.0
dense,gaussian,direct,0.0,0,14,kodak_kodim15,benchmark,42,ok,True,False,,0,99.0,7.172752287435751e-32,5.075855282771261e-16,4.566041742896728e-16,2.5107067648455232,1500.2288,0.0,0.0,0.0,0.0
dense,lu,factorization,0.0,0,14,kodak_kodim15,benchmark,42,ok,True,False,,0,99.0,5.099961601628303e-32,4.272438986940265e-16,3.8676829103857604e-16,2.5107067648455232,262.0058,0.0,0.0,0.0,0.0
dense,gauss_seidel,iterative,0.0,0,14,kodak_kodim15,benchmark,42,iter_limit,True,True,,0,99.0,2.1081409838437428e-16,2.741989433192605e-08,2.4806721208143748e-08,2.5107067648455232,6014.0189,21.47265625,0.0625,0.0,0.0
dense,gmres,hybrid,0.0,0,14,kodak_kodim15,benchmark,42,ok,True,False,,0,99.0,8.297087196114185e-18,5.4471321068413e-09,4.183409715042687e-09,2.5107067648455232,379.6212,0.0,0.0,16.0,0.0
dense,np_solve,baseline,0.0,0,14,kodak_kodim15,benchmark,42,ok,True,False,,0,99.0,7.321199572501278e-32,5.128363097344569e-16,4.656066615832459e-16,2.5107067648455232,6.8459,0.0,0.0,0.0,0.0
dense,gaussian,direct,0.0,0,15,kodak_kodim16,benchmark,42,ok,True,False,,0,99.0,5.031220553811798e-32,5.089133660795334e-16,4.593746280709725e-16,2.5107067648455232,1321.184,0.0,0.0,0.0,0.0
dense,lu,factorization,0.0,0,15,kodak_kodim16,benchmark,42,ok,True,False,,0,99.0,3.4985468723030494e-32,4.2438384196918985e-16,3.8632691070925826e-16,2.5107067648455232,253.6045,0.0,0.0,0.0,0.0
dense,gauss_seidel,iterative,0.0,0,15,kodak_kodim16,benchmark,42,iter_limit,True,True,,0,99.0,2.1071819791239077e-16,3.2933162118091216e-08,2.9770031276464372e-08,2.5107067648455232,5651.2395,21.1796875,0.0625,0.0,0.0
dense,gmres,hybrid,0.0,0,15,kodak_kodim16,benchmark,42,ok,True,False,,0,99.0,5.6694322829517355e-18,5.406187746421809e-09,4.129963445425252e-09,2.5107067648455232,478.2653,0.0,0.0,16.0,0.0
dense,np_solve,baseline,0.0,0,15,kodak_kodim16,benchmark,42,ok,True,False,,0,99.0,5.132705168141879e-32,5.140039007484407e-16,4.687113304051733e-16,2.5107067648455232,6.971,0.0,0.0,0.0,0.0
dense,gaussian,direct,0.0,0,16,kodak_kodim17,benchmark,42,ok,True,False,,0,99.0,3.391450030727373e-32,5.110149050571291e-16,4.592232725852223e-16,2.5107067648455232,1380.6436,0.0,0.0,0.0,0.0
dense,lu,factorization,0.0,0,16,kodak_kodim17,benchmark,42,ok,True,False,,0,99.0,2.400975134137129e-32,4.2997443562357567e-16,3.861009960260231e-16,2.5107067648455232,266.3104,0.0,0.0,0.0,0.0
dense,gauss_seidel,iterative,0.0,0,16,kodak_kodim17,benchmark,42,ok,True,False,,0,99.0,9.42636658813714e-17,2.6940293036444875e-08,2.4256335182694783e-08,2.5107067648455232,2607.1328,9.5703125,0.0,0.0,0.0
dense,gmres,hybrid,0.0,0,16,kodak_kodim17,benchmark,42,ok,True,False,,0,99.0,3.687460223823267e-18,5.328541950010755e-09,4.133313216077237e-09,2.5107067648455232,386.1592,0.0,0.0,15.9921875,0.0
dense,np_solve,baseline,0.0,0,16,kodak_kodim17,benchmark,42,ok,True,False,,0,99.0,3.366950877970989e-32,5.091432373449949e-16,4.642027395709979e-16,2.5107067648455232,10.1406,0.0,0.0,0.0,0.0
dense,gaussian,direct,0.0,0,17,kodak_kodim18,benchmark,42,ok,True,False,,0,99.0,2.6627151832716573e-32,5.200709351926183e-16,4.68386178973326e-16,2.5107067648455232,1375.7364,0.0,0.0,0.0,0.0
dense,lu,factorization,0.0,0,17,kodak_kodim18,benchmark,42,ok,True,False,,0,99.0,1.8500497269265433e-32,4.319187578239962e-16,3.9584535417539044e-16,2.5107067648455232,258.9674,0.0,0.0,0.0,0.0
dense,gauss_seidel,iterative,0.0,0,17,kodak_kodim18,benchmark,42,ok,True,False,,0,99.0,3.886531922991107e-17,1.961855599289242e-08,1.7557393347861042e-08,2.5107067648455232,2750.769,9.68359375,0.0,0.0,0.0
dense,gmres,hybrid,0.0,0,17,kodak_kodim18,benchmark,42,ok,True,False,,0,99.0,3.388026542636385e-18,5.827135693804928e-09,4.573700011477737e-09,2.5107067648455232,422.1225,0.0,0.0,15.97265625,0.0
dense,np_solve,baseline,0.0,0,17,kodak_kodim18,benchmark,42,ok,True,False,,0,99.0,2.608996854680605e-32,5.140890095564624e-16,4.644509430700314e-16,2.5107067648455232,8.5898,0.0,0.0,0.0,0.0
dense,gaussian,direct,0.0,0,18,kodak_kodim19,benchmark,42,ok,True,False,,0,99.0,6.212492933820368e-32,5.096571440234141e-16,4.584877282156205e-16,2.5107067648455232,1400.3158,0.0,0.0,0.0,0.0
dense,lu,factorization,0.0,0,18,kodak_kodim19,benchmark,42,ok,True,False,,0,99.0,4.2301023059900086e-32,4.205528668577711e-16,3.8196640599352823e-16,2.5107067648455232,272.8241,0.0,0.0,0.0,0.0
dense,gauss_seidel,iterative,0.0,0,18,kodak_kodim19,benchmark,42,ok,True,False,,0,99.0,2.1105276621798146e-16,2.970576128242853e-08,2.6929370346730897e-08,2.5107067648455232,2536.6812,9.4140625,0.0,0.0,0.0
