matrix_type,sigma,repeat,image_idx,image_name,solver,baseline_solver,delta_psnr_db,delta_mse,delta_relative_error,delta_relative_residual,delta_time_ms
dense,0.0,1,12,kodak_kodim13,lu,np_solve,0.0,-1.8536798758193407e-32,-9.038486576081134e-17,-8.333050284173649e-17,249.54249999999996
dense,0.0,1,12,kodak_kodim13,gauss_seidel,np_solve,0.0,1.0801140201862404e-16,2.2299170347821078e-08,1.9943866018601462e-08,5538.559
dense,0.0,1,12,kodak_kodim13,gmres,np_solve,0.0,6.517527036427916e-18,5.488129011102867e-09,4.297404477989158e-09,373.5834
dense,0.0,1,13,kodak_kodim14,gaussian,np_solve,0.0,-2.3852279406169157e-34,-1.4679203846563496e-18,-8.058004518035117e-18,1337.1427999999999
dense,0.0,1,13,kodak_kodim14,lu,np_solve,0.0,-1.4606443066279134e-32,-9.06649845583093e-17,-8.262112306481168e-17,265.6949
dense,0.0,1,13,kodak_kodim14,gauss_seidel,np_solve,0.0,1.0868003642060873e-16,2.5088607078410298e-08,2.264608151006444e-08,5434.3718
dense,0.0,1,13,kodak_kodim14,gmres,np_solve,0.0,5.207156214501952e-18,5.496435928720828e-09,4.294751508068263e-09,380.0215
dense,0.0,1,14,kodak_kodim15,gaussian,np_solve,0.0,-1.4844728506552714e-33,-5.250781457330882e-18,-9.00248729357314e-18,1326.3835000000001
dense,0.0,1,14,kodak_kodim15,lu,np_solve,0.0,-2.221237970872975e-32,-8.559241104043046e-17,-7.883837054466986e-17,247.7139
dense,0.0,1,14,kodak_kodim15,gauss_seidel,np_solve,0.0,2.108140983843742e-16,2.741989381908974e-08,2.4806720742537085e-08,5530.2608
dense,0.0,1,14,kodak_kodim15,gmres,np_solve,0.0,8.297087196114111e-18,5.44713159400499e-09,4.183409249436026e-09,380.738
dense,0.0,1,15,kodak_kodim16,gaussian,np_solve,0.0,-1.0148461433008114e-33,-5.0905346689073395e-18,-9.336702334200836e-18,1329.1053
dense,0.0,1,15,kodak_kodim16,lu,np_solve,0.0,-1.63415829583883e-32,-8.962005877925087e-17,-8.238441969591504e-17,259.9139
dense,0.0,1,15,kodak_kodim16,gauss_seidel,np_solve,0.0,2.1071819791239072e-16,3.293316160408732e-08,2.9770030807753043e-08,5553.1195
dense,0.0,1,15,kodak_kodim16,gmres,np_solve,0.0,5.669432282951684e-18,5.406187232417908e-09,4.129962976713922e-09,376.91310000000004
dense,0.0,1,16,kodak_kodim17,gaussian,np_solve,0.0,2.4499152756384055e-34,1.8716677121342272e-18,-4.979466985775626e-18,1358.7011
dense,0.0,1,16,kodak_kodim17,lu,np_solve,0.0,-9.6597574383386e-33,-7.916880172141922e-17,-7.810174354497486e-17,252.0892
dense,0.0,1,16,kodak_kodim17,gauss_seidel,np_solve,0.0,9.426366588137136e-17,2.694029252730164e-08,2.4256334718492044e-08,2547.9699
dense,0.0,1,16,kodak_kodim17,gmres,np_solve,0.0,3.687460223823233e-18,5.328541440867517e-09,4.133312751874498e-09,392.3605
dense,0.0,1,17,kodak_kodim18,gaussian,np_solve,0.0,5.3718328591052306e-34,5.981925636155873e-18,3.935235903294637e-18,1317.6063
dense,0.0,1,17,kodak_kodim18,lu,np_solve,0.0,-7.589471277540617e-33,-8.217025173246616e-17,-6.860558889464095e-17,270.3454
dense,0.0,1,17,kodak_kodim18,gauss_seidel,np_solve,0.0,3.8865319229911046e-17,1.961855547880341e-08,1.75573928834101e-08,2617.4964
dense,0.0,1,17,kodak_kodim18,gmres,np_solve,0.0,3.388026542636359e-18,5.827135179715918e-09,4.573699547026794e-09,381.03319999999997
dense,0.0,1,18,kodak_kodim19,gaussian,np_solve,0.0,-9.443782024552098e-34,-3.859108946893263e-18,-5.470410298030066e-18,1377.2565
dense,0.0,1,18,kodak_kodim19,lu,np_solve,0.0,-2.0768284480758806e-32,-9.296338611253622e-17,-8.199173252012232e-17,251.1898
dense,0.0,1,18,kodak_kodim19,gauss_seidel,np_solve,0.0,2.1105276621798139e-16,2.9705760768912277e-08,2.692936988277276e-08,2527.4640000000004
dense,0.0,1,18,kodak_kodim19,gmres,np_solve,0.0,7.406794189358259e-18,5.5649371123387e-09,4.311429363887773e-09,377.0124
dense,0.0,1,19,kodak_kodim20,gaussian,np_solve,0.0,-1.025182600844534e-32,-2.1977326395106726e-17,-1.6262707376608347e-17,1357.193
dense,0.0,1,19,kodak_kodim20,lu,np_solve,0.0,-4.7497408241822367e-32,-9.978982227677467e-17,-8.772937367992185e-17,250.0575
dense,0.0,1,19,kodak_kodim20,gauss_seidel,np_solve,0.0,6.642602683242857e-16,3.530898827428202e-08,3.201831693303022e-08,5502.5571
dense,0.0,1,19,kodak_kodim20,gmres,np_solve,0.0,1.5364308490979348e-17,5.385151697469974e-09,4.107522636162282e-09,370.7343
dense,0.0,1,20,kodak_kodim21,gaussian,np_solve,0.0,3.0471973265376462e-34,1.3436146651410472e-18,-1.20749864679109e-18,1336.5076
dense,0.0,1,20,kodak_kodim21,lu,np_solve,0.0,-1.9811352536611442e-32,-9.126752025646544e-17,-8.264061910829228e-17,264.0695
dense,0.0,1,20,kodak_kodim21,gauss_seidel,np_solve,0.0,2.4468705404231623e-16,3.2492086797675654e-08,2.952172240356191e-08,5401.1795
dense,0.0,1,20,kodak_kodim21,gmres,np_solve,0.0,6.78971501056831e-18,5.421356693430821e-09,4.185723265398877e-09,380.5724
dense,0.0,1,21,kodak_kodim22,gaussian,np_solve,0.0,-9.679762148886856e-34,-4.089175646279507e-18,-8.769297042660524e-18,1345.2999000000002
