matrix_type,solver,solver_family,sigma,cond,sample_count,success_rate,full_convergence_rate,psnr_mean,psnr_std,mse_mean,mse_std,rel_err_mean,rel_err_std,residual_mean,residual_std,time_ms_mean,time_ms_std,time_ms_median,time_ms_iqr,gs_iters_mean,gs_iters_std,gs_hit_max_ratio_mean,gs_hit_max_ratio_std,gmres_iters_mean,gmres_iters_std,gmres_hit_max_ratio_mean,gmres_hit_max_ratio_std
dense,gmres,hybrid,0.0,2.5107067648455232,72,1.0,1.0,99.0,0.0,6.777438535263336e-18,2.7528858839453132e-18,5.4691391897133645e-09,1.4414141432792113e-10,4.227058529525458e-09,1.4060329023853015e-10,379.4717347222222,25.066458631592553,382.0385,32.347425000000044,0.0,0.0,0.0,0.0,15.9931640625,0.006347920752208586,0.0,0.0
dense,gmres,hybrid,0.01,2.5107067648455232,72,1.0,1.0,67.0373349509921,0.08497387333089691,1.9785529157979444e-07,3.814586089162536e-09,0.0009837208576992617,0.00019391853504990698,4.227054315118398e-09,1.4056023393496912e-10,358.2563152777778,13.482816046325748,353.3863,10.787075000000016,0.0,0.0,0.0,0.0,15.9931640625,0.006347920752208586,0.0,0.0
dense,gmres,hybrid,0.03,2.5107067648455232,72,1.0,1.0,57.49970993685037,0.07926988260118302,1.778687259006093e-06,3.196053246078615e-08,0.00294961219671678,0.0005776702701458175,4.228534649388339e-09,1.4211256274600626e-10,359.4145486111111,12.477612477000367,354.8752,14.336574999999925,0.0,0.0,0.0,0.0,15.993109809027779,0.006339215781086641,0.0,0.0
dense,gmres,hybrid,0.07,2.5107067648455232,72,1.0,1.0,50.142466586078854,0.10838853373771057,9.68018858852203e-06,2.3382256295097298e-07,0.006884615994630001,0.001346625116028708,4.226312263960224e-09,1.4413059957545558e-10,371.6278486111111,12.015284244168635,369.27464999999995,15.303474999999992,0.0,0.0,0.0,0.0,15.99343532986111,0.006451232972532578,0.0,0.0
dense,gmres,hybrid,0.12,2.5107067648455232,72,1.0,1.0,45.45967745667657,0.1101797819823343,2.8455545941884668e-05,6.974987116008838e-07,0.011804734342041245,0.002292665345709592,4.225558542561297e-09,1.43861336849903e-10,357.59283611111107,9.892728264659649,354.7691,11.551350000000014,0.0,0.0,0.0,0.0,15.993489583333334,0.006718007861075996,0.0,0.0
dense,lu,factorization,0.0,2.5107067648455232,72,1.0,1.0,99.0,0.0,4.079688781355638e-32,1.680265688339783e-32,4.2378556356319354e-16,3.042467396634414e-18,3.8429606231038636e-16,3.6129041287230305e-18,255.3571138888889,16.314088731629063,256.56345,20.015175000000028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dense,lu,factorization,0.01,2.5107067648455232,72,1.0,1.0,67.0373349805397,0.08497379411459753,1.978552901658255e-07,3.814582675318731e-09,0.000983720848624418,0.0001939185256205437,3.8594809056176086e-16,2.606446603739214e-18,243.5731236111111,8.766556441441754,240.28064999999998,5.751925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dense,lu,factorization,0.03,2.5107067648455232,72,1.0,1.0,57.49970993978094,0.07926989533997648,1.7786872578959038e-06,3.196053712012503e-08,0.002949612191813829,0.0005776702612706235,3.852066875306833e-16,3.102279379241713e-18,242.1522069444444,6.68240264428698,239.316,5.326999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dense,lu,factorization,0.07,2.5107067648455232,72,1.0,1.0,50.14246658275145,0.10838853192368238,9.680188595822436e-06,2.3382255694054345e-07,0.006884615993715811,0.001346625116193327,3.8540360024739556e-16,3.655551377858348e-18,251.14166805555558,8.98033574302297,247.25164999999998,9.593474999999984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dense,lu,factorization,0.12,2.5107067648455232,72,1.0,1.0,45.45967746898838,0.1101798040163191,2.845554586469261e-05,6.974988430378419e-07,0.011804734325301863,0.002292665348095379,3.853304459241797e-16,3.482703148656623e-18,241.73683194444442,5.250175109429151,240.16109999999998,6.147075000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dense,np_solve,baseline,0.0,2.5107067648455232,72,1.0,1.0,99.0,0.0,6.053558595003473e-32,2.5745045362232145e-32,5.150919011284404e-16,4.272934504697868e-18,4.669911800763043e-16,3.266735585345678e-18,7.326148611111112,0.9496702578208887,6.9982,0.6880750000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dense,np_solve,baseline,0.01,2.5107067648455232,72,1.0,1.0,67.0373349805397,0.08497379411457986,1.978552901658253e-07,3.8145826753179594e-09,0.0009837208486244175,0.00019391852562054368,4.697898043903846e-16,3.6093464070767715e-18,6.839208333333334,0.46442159900215485,6.77085,0.35152499999999964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dense,np_solve,baseline,0.03,2.5107067648455232,72,1.0,1.0,57.49970993978094,0.07926989533997937,1.7786872578959038e-06,3.196053712012619e-08,0.002949612191813829,0.0005776702612706241,4.685785021031075e-16,4.579676628128877e-18,6.8106527777777774,0.4437973236728874,6.72065,0.28554999999999975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
