image_name,matrix_type,solver,sigma,mse_mean,mse_max,mse_median
kodak_kodim02,dense,lu,0.07,9.676289248341958e-06,9.796932776344851e-06,9.78996550784002e-06
kodak_kodim02,dense,lu,0.12,2.8584269713243106e-05,2.8860576001708425e-05,2.8803046164694858e-05
kodak_kodim02,dense,np_solve,0.0,2.8219321679885046e-32,2.8219321679885046e-32,2.8219321679885046e-32
kodak_kodim02,dense,np_solve,0.01,2.0053990661615627e-07,2.0364535207165727e-07,2.0009798414846327e-07
kodak_kodim02,dense,np_solve,0.03,1.7993176133987417e-06,1.8041864493511169e-06,1.8030111800678086e-06
kodak_kodim02,dense,np_solve,0.07,9.676289248341955e-06,9.796932776344848e-06,9.78996550784002e-06
kodak_kodim02,dense,np_solve,0.12,2.858426971324311e-05,2.8860576001708432e-05,2.8803046164694855e-05
kodak_kodim02,sparse,gauss_seidel,0.0,2.832313066392235e-17,2.832313066392235e-17,2.832313066392235e-17
kodak_kodim02,sparse,gauss_seidel,0.01,1.1033535188922455e-06,1.1187515801454564e-06,1.1024766293824894e-06
kodak_kodim02,sparse,gauss_seidel,0.03,1.0086888477534672e-05,1.0198209046002127e-05,1.0040066822754868e-05
kodak_kodim02,sparse,gauss_seidel,0.07,5.521536743783462e-05,5.5801141997474634e-05,5.524985120041529e-05
kodak_kodim02,sparse,gauss_seidel,0.12,0.00016159062388521162,0.00016251952044491985,0.00016113833564933587
kodak_kodim02,sparse,gaussian,0.0,1.1386605089710676e-32,1.1386605089710676e-32,1.1386605089710676e-32
kodak_kodim02,sparse,gaussian,0.01,1.1033534798927948e-06,1.1187514634151728e-06,1.1024766482733357e-06
kodak_kodim02,sparse,gaussian,0.03,1.0086888353052754e-05,1.0198209065748742e-05,1.0040066681650597e-05
kodak_kodim02,sparse,gaussian,0.07,5.521536738153372e-05,5.580114092248576e-05,5.524985175566353e-05
kodak_kodim02,sparse,gaussian,0.12,0.0001615906232458357,0.0001625195204761558,0.00016113833479192648
kodak_kodim02,sparse,gmres,0.0,4.025403161600114e-18,4.025403161600114e-18,4.025403161600114e-18
kodak_kodim02,sparse,gmres,0.01,1.103353483571058e-06,1.1187514764445393e-06,1.102476609411812e-06
kodak_kodim02,sparse,gmres,0.03,1.0086888353748259e-05,1.019820893919114e-05,1.0040066684156591e-05
kodak_kodim02,sparse,gmres,0.07,5.521536742896789e-05,5.580114066939239e-05,5.5249851954135466e-05
kodak_kodim02,sparse,gmres,0.12,0.00016159062238921135,0.00016251952054201178,0.00016113833346565826
kodak_kodim02,sparse,lu,0.0,5.8450154356406426e-33,5.8450154356406426e-33,5.8450154356406426e-33
kodak_kodim02,sparse,lu,0.01,1.1033534798927935e-06,1.1187514634151736e-06,1.1024766482733352e-06
kodak_kodim02,sparse,lu,0.03,1.0086888353052752e-05,1.0198209065748738e-05,1.0040066681650592e-05
kodak_kodim02,sparse,lu,0.07,5.521536738153373e-05,5.580114092248576e-05,5.524985175566356e-05
kodak_kodim02,sparse,lu,0.12,0.0001615906232458357,0.0001625195204761558,0.00016113833479192646
kodak_kodim02,sparse,np_solve,0.0,1.5205153203846733e-32,1.5205153203846733e-32,1.5205153203846733e-32
kodak_kodim02,sparse,np_solve,0.01,1.1033534798927935e-06,1.1187514634151747e-06,1.102476648273333e-06
kodak_kodim02,sparse,np_solve,0.03,1.008688835305275e-05,1.0198209065748735e-05,1.0040066681650594e-05
kodak_kodim02,sparse,np_solve,0.07,5.521536738153373e-05,5.5801140922485774e-05,5.524985175566352e-05
kodak_kodim02,sparse,np_solve,0.12,0.00016159062324583572,0.0001625195204761558,0.0001611383347919265
kodak_kodim03,dense,gauss_seidel,0.0,1.7336071909814553e-16,1.7336071909814556e-16,1.7336071909814556e-16
kodak_kodim03,dense,gauss_seidel,0.01,1.9850147954159769e-07,1.9991953092036694e-07,1.9862790917618715e-07
kodak_kodim03,dense,gauss_seidel,0.03,1.8060471848782275e-06,1.8308971307151663e-06,1.817503276767257e-06
kodak_kodim03,dense,gauss_seidel,0.07,9.685417144205203e-06,9.769805738883265e-06,9.6796678900367e-06
kodak_kodim03,dense,gauss_seidel,0.12,2.861092802037421e-05,2.881276299970885e-05,2.85132885643272e-05
kodak_kodim03,dense,gaussian,0.0,4.7558821809790386e-32,4.755882180979038e-32,4.755882180979038e-32
